0.000000 1.000000
0.100000 0.998334
0.200000 0.993347
0.300000 0.985067
0.400000 0.973546
0.500000 0.958851
0.600000 0.941071
0.700000 0.920311
0.800000 0.896695
0.900000 0.870363
1.000000 0.841471
1.100000 0.810189
1.200000 0.776699
1.300000 0.741199
1.400000 0.703893
1.500000 0.664997
1.600000 0.624734
1.700000 0.583332
1.800000 0.541026
1.900000 0.498053
2.000000 0.454649
2.100000 0.411052
2.200000 0.367498
2.300000 0.324220
2.400000 0.281443
2.500000 0.239389
2.600000 0.198270
2.700000 0.158289
2.800000 0.119639
2.900000 0.082500
3.000000 0.047040
3.100000 0.013413
3.200000 -0.018242
3.300000 -0.047802
3.400000 -0.075159
3.500000 -0.100224
3.600000 -0.122922
3.700000 -0.143199
3.800000 -0.161015
3.900000 -0.176350
4.000000 -0.189201
4.100000 -0.199580
4.200000 -0.207518
4.300000 -0.213062
4.400000 -0.216273
4.500000 -0.217229
4.600000 -0.216020
4.700000 -0.212750
4.800000 -0.207534
4.900000 -0.200501
5.000000 -0.191785
5.100000 -0.181532
5.200000 -0.169895
5.300000 -0.157032
5.400000 -0.143105
5.500000 -0.128280
5.600000 -0.112726
5.700000 -0.096611
5.800000 -0.080104
5.900000 -0.063369
6.000000 -0.046569
6.100000 -0.029863
6.200000 -0.013402
6.300000 0.002669
6.400000 0.018211
6.500000 0.033095
6.600000 0.047203
6.700000 0.060425
6.800000 0.072664
6.900000 0.083832
7.000000 0.093855
7.100000 0.102672
7.200000 0.110232
7.300000 0.116498
7.400000 0.121447
7.500000 0.125067
7.600000 0.127358
7.700000 0.128334
7.800000 0.128018
7.900000 0.126448
8.000000 0.123670
8.100000 0.119739
8.200000 0.114723
8.300000 0.108695
8.400000 0.101738
8.500000 0.093940
8.600000 0.085395
8.700000 0.076203
8.800000 0.066468
8.900000 0.056294
9.000000 0.045791
9.100000 0.035066
9.200000 0.024227
9.300000 0.013382
9.400000 0.002636
9.500000 -0.007911
9.600000 -0.018159
9.700000 -0.028017
9.800000 -0.037396
9.900000 -0.046216
10.000000 -0.054402
